Service is recall at 18/06/2022 18:52:51
 trade date 18/06/2022 18:52:51 period 17 volume:955.528183819506
 trade date 18/06/2022 18:52:51 period 18 volume:54.3499896555906
 trade date 18/06/2022 18:52:51 period 19 volume:53.3929290498574
 trade date 18/06/2022 18:52:51 period 20 volume:100.131942937212
 trade date 18/06/2022 18:52:51 period 21 volume:175.221574108685
 trade date 18/06/2022 18:52:51 period 22 volume:107.23045938985
 trade date 18/06/2022 18:52:51 period 23 volume:672.6745821874
 trade date 18/06/2022 18:52:51 period 24 volume:41.8522097365242
 trade date 18/06/2022 18:52:51 period 1 volume:891.818527081897
 trade date 18/06/2022 18:52:51 period 2 volume:628.890035501164
 trade date 18/06/2022 18:52:51 period 3 volume:169.078926168885
 trade date 18/06/2022 18:52:51 period 4 volume:638.667994941896
 trade date 18/06/2022 18:52:51 period 5 volume:864.407126728635
 trade date 18/06/2022 18:52:51 period 6 volume:599.054371285743
 trade date 18/06/2022 18:52:51 period 7 volume:564.361671714281
 trade date 18/06/2022 18:52:51 period 8 volume:458.472542678226
 trade date 18/06/2022 18:52:51 period 9 volume:47.6348106971173
 trade date 18/06/2022 18:52:51 period 10 volume:983.646223313942
 trade date 18/06/2022 18:52:51 period 11 volume:792.510248158365
 trade date 18/06/2022 18:52:51 period 12 volume:457.311786458507
 trade date 18/06/2022 18:52:51 period 13 volume:126.586160681483
 trade date 18/06/2022 18:52:51 period 14 volume:636.257623618589
 trade date 18/06/2022 18:52:51 period 15 volume:279.184753670909
 trade date 18/06/2022 18:52:51 period 16 volume:503.587927438127
 trade date 18/06/2022 18:52:51 period 17 volume:555.326906757116
 trade date 18/06/2022 18:52:51 period 18 volume:37.361788115167
 trade date 18/06/2022 18:52:51 period 19 volume:667.72773334185
 trade date 18/06/2022 18:52:51 period 20 volume:633.989718106571
 trade date 18/06/2022 18:52:51 period 21 volume:302.350173379458
 trade date 18/06/2022 18:52:51 period 22 volume:324.418563081146
 trade date 18/06/2022 18:52:51 period 23 volume:170.243005347551
 trade date 18/06/2022 18:52:51 period 24 volume:273.447153751481
 trade date 18/06/2022 18:52:51 period 1 volume:473.369233530652
 trade date 18/06/2022 18:52:51 period 2 volume:922.710475475858
 trade date 18/06/2022 18:52:51 period 3 volume:342.54515187002
 trade date 18/06/2022 18:52:51 period 4 volume:936.026309587074
 trade date 18/06/2022 18:52:51 period 5 volume:221.488397205942
 trade date 18/06/2022 18:52:51 period 6 volume:323.88759419503
 trade date 18/06/2022 18:52:51 period 7 volume:413.083709503097
 trade date 18/06/2022 18:52:51 period 8 volume:249.506215215431
 trade date 18/06/2022 18:52:51 period 9 volume:976.400554169156
 trade date 18/06/2022 18:52:51 period 10 volume:205.337563625228
 trade date 18/06/2022 18:52:51 period 11 volume:276.423449756775
 trade date 18/06/2022 18:52:51 period 12 volume:678.756416625696
 trade date 18/06/2022 18:52:51 period 13 volume:987.172306043642
 trade date 18/06/2022 18:52:51 period 14 volume:771.446871464815
 trade date 18/06/2022 18:52:51 period 15 volume:771.712504686654
 trade date 18/06/2022 18:52:51 period 16 volume:51.7400666380953
 trade date 18/06/2022 18:52:51 period 17 volume:803.95375462433
 trade date 18/06/2022 18:52:51 period 18 volume:108.931620190354
 trade date 18/06/2022 18:52:51 period 19 volume:825.612840161479
 trade date 18/06/2022 18:52:51 period 20 volume:992.867918681757
 trade date 18/06/2022 18:52:51 period 21 volume:726.288601162978
 trade date 18/06/2022 18:52:51 period 22 volume:688.592387218304
 trade date 18/06/2022 18:52:51 period 23 volume:341.593620526415
 trade date 18/06/2022 18:52:51 period 24 volume:572.425484923844
 trade date 18/06/2022 18:52:51 period 1 volume:996.074743567069
 trade date 18/06/2022 18:52:51 period 2 volume:951.539190463507
 trade date 18/06/2022 18:52:51 period 3 volume:269.098394675692
 trade date 18/06/2022 18:52:51 period 4 volume:600.732759852304
 trade date 18/06/2022 18:52:51 period 5 volume:287.410225387388
 trade date 18/06/2022 18:52:51 period 6 volume:235.441223827862
 trade date 18/06/2022 18:52:51 period 7 volume:559.032115879949
 trade date 18/06/2022 18:52:51 period 8 volume:461.19527773056
 trade date 18/06/2022 18:52:51 period 9 volume:461.023720195994
 trade date 18/06/2022 18:52:51 period 10 volume:285.369970037309
 trade date 18/06/2022 18:52:51 period 11 volume:607.270371917296
 trade date 18/06/2022 18:52:51 period 12 volume:42.0060148658259
 trade date 18/06/2022 18:52:51 period 13 volume:779.838015222847
 trade date 18/06/2022 18:52:51 period 14 volume:731.573095885838
 trade date 18/06/2022 18:52:51 period 15 volume:572.515599696206
 trade date 18/06/2022 18:52:51 period 16 volume:474.280679353644
 trade date 18/06/2022 18:52:51 period 17 volume:838.128418586277
 trade date 18/06/2022 18:52:51 period 18 volume:91.5329247208
 trade date 18/06/2022 18:52:51 period 19 volume:761.991995741609
 trade date 18/06/2022 18:52:51 period 20 volume:837.058249319465
 trade date 18/06/2022 18:52:51 period 21 volume:223.99748732522
 trade date 18/06/2022 18:52:51 period 22 volume:39.6803133374454
 trade date 18/06/2022 18:52:51 period 23 volume:853.809595039957
 trade date 18/06/2022 18:52:51 period 24 volume:692.131147110896
 trade date 18/06/2022 18:52:51 period 1 volume:2.69490340850079
 trade date 18/06/2022 18:52:51 period 2 volume:762.354544253254
 trade date 18/06/2022 18:52:51 period 3 volume:93.8803134923244
 trade date 18/06/2022 18:52:51 period 4 volume:404.275006802881
 trade date 18/06/2022 18:52:51 period 5 volume:496.809660222758
 trade date 18/06/2022 18:52:51 period 6 volume:252.239531489201
 trade date 18/06/2022 18:52:51 period 7 volume:160.640867967457
 trade date 18/06/2022 18:52:51 period 8 volume:561.934525874413
 trade date 18/06/2022 18:52:51 period 9 volume:452.946462879398
 trade date 18/06/2022 18:52:51 period 10 volume:717.81262881952
 trade date 18/06/2022 18:52:51 period 11 volume:529.662562780856
 trade date 18/06/2022 18:52:51 period 12 volume:697.224187058035
 trade date 18/06/2022 18:52:51 period 13 volume:363.598057238198
 trade date 18/06/2022 18:52:51 period 14 volume:210.244203549923
 trade date 18/06/2022 18:52:51 period 15 volume:741.530747032506
 trade date 18/06/2022 18:52:51 period 16 volume:413.629821228622
 trade date 18/06/2022 18:52:51 period 17 volume:715.770741326628
 trade date 18/06/2022 18:52:51 period 18 volume:559.140376075702
 trade date 18/06/2022 18:52:51 period 19 volume:311.938807513536
 trade date 18/06/2022 18:52:51 period 20 volume:928.245855927582
 trade date 18/06/2022 18:52:51 period 21 volume:65.544712853406
 trade date 18/06/2022 18:52:51 period 22 volume:471.060876022587
 trade date 18/06/2022 18:52:51 period 23 volume:144.236525122186
 trade date 18/06/2022 18:52:51 period 24 volume:367.469227112583
 trade date 18/06/2022 18:52:51 period 1 volume:77.1218077638754
 trade date 18/06/2022 18:52:51 period 2 volume:919.118215292282
 trade date 18/06/2022 18:52:51 period 3 volume:765.818728024987
 trade date 18/06/2022 18:52:51 period 4 volume:544.526207514352
 trade date 18/06/2022 18:52:51 period 5 volume:700.009122351189
 trade date 18/06/2022 18:52:51 period 6 volume:51.8073640073684
 trade date 18/06/2022 18:52:51 period 7 volume:462.663170631352
 trade date 18/06/2022 18:52:51 period 8 volume:573.954211815239
 trade date 18/06/2022 18:52:51 period 9 volume:347.755202254166
 trade date 18/06/2022 18:52:51 period 10 volume:975.853644765845
 trade date 18/06/2022 18:52:51 period 11 volume:653.786517052812
 trade date 18/06/2022 18:52:51 period 12 volume:458.687506364047
 trade date 18/06/2022 18:52:51 period 13 volume:646.898162386798
 trade date 18/06/2022 18:52:51 period 14 volume:932.71701872941
 trade date 18/06/2022 18:52:51 period 15 volume:468.486113226268
 trade date 18/06/2022 18:52:51 period 16 volume:439.354167058763
 trade date 18/06/2022 18:52:51 period 17 volume:854.116579915451
 trade date 18/06/2022 18:52:51 period 18 volume:698.418093239152
 trade date 18/06/2022 18:52:51 period 19 volume:274.993602314495
 trade date 18/06/2022 18:52:51 period 20 volume:468.293505473199
 trade date 18/06/2022 18:52:51 period 21 volume:296.38938247058
 trade date 18/06/2022 18:52:51 period 22 volume:820.54019524741
 trade date 18/06/2022 18:52:51 period 23 volume:993.668337815287
 trade date 18/06/2022 18:52:51 period 24 volume:696.859021995617
 trade date 18/06/2022 18:52:51 period 1 volume:763.624669873912
 trade date 18/06/2022 18:52:51 period 2 volume:666.953826168065
 trade date 18/06/2022 18:52:51 period 3 volume:596.860382983862
 trade date 18/06/2022 18:52:51 period 4 volume:816.552888050933
 trade date 18/06/2022 18:52:51 period 5 volume:281.151726972848
 trade date 18/06/2022 18:52:51 period 6 volume:201.196604502013
 trade date 18/06/2022 18:52:51 period 7 volume:365.86865147849
 trade date 18/06/2022 18:52:51 period 8 volume:949.239379702713
 trade date 18/06/2022 18:52:51 period 9 volume:459.733518520246
 trade date 18/06/2022 18:52:51 period 10 volume:799.826364405372
 trade date 18/06/2022 18:52:51 period 11 volume:445.494188203241
 trade date 18/06/2022 18:52:51 period 12 volume:881.707935073277
 trade date 18/06/2022 18:52:51 period 13 volume:493.532703022255
 trade date 18/06/2022 18:52:51 period 14 volume:820.460769264242
 trade date 18/06/2022 18:52:51 period 15 volume:931.245456883333
 trade date 18/06/2022 18:52:51 period 16 volume:850.844256044759
 trade date 18/06/2022 18:52:51 period 17 volume:894.685458808525
 trade date 18/06/2022 18:52:51 period 18 volume:525.494777376528
 trade date 18/06/2022 18:52:51 period 19 volume:281.726472210943
 trade date 18/06/2022 18:52:51 period 20 volume:724.628284445325
 trade date 18/06/2022 18:52:51 period 21 volume:183.193296279383
 trade date 18/06/2022 18:52:51 period 22 volume:567.338106486638
 trade date 18/06/2022 18:52:51 period 23 volume:851.359153097197
 trade date 18/06/2022 18:52:51 period 24 volume:81.1995771160347
 trade date 18/06/2022 18:52:51 period 1 volume:291.30502244984
 trade date 18/06/2022 18:52:51 period 2 volume:77.7030382667217
 trade date 18/06/2022 18:52:51 period 3 volume:348.48498476133
 trade date 18/06/2022 18:52:51 period 4 volume:76.7567707583107
 trade date 18/06/2022 18:52:51 period 5 volume:651.163474028541
 trade date 18/06/2022 18:52:51 period 6 volume:270.534198857161
 trade date 18/06/2022 18:52:51 period 7 volume:636.965517716932
 trade date 18/06/2022 18:52:51 period 8 volume:378.594599374847
 trade date 18/06/2022 18:52:51 period 9 volume:603.598488775826
 trade date 18/06/2022 18:52:51 period 10 volume:214.463254536718
 trade date 18/06/2022 18:52:51 period 11 volume:54.5328962870561
 trade date 18/06/2022 18:52:51 period 12 volume:470.649662646768
 trade date 18/06/2022 18:52:51 period 13 volume:271.959809247386
 trade date 18/06/2022 18:52:51 period 14 volume:467.035584834886
 trade date 18/06/2022 18:52:51 period 15 volume:237.254656030449
 trade date 18/06/2022 18:52:51 period 16 volume:778.978274100916
 trade date 18/06/2022 18:52:51 period 17 volume:236.58622532924
 trade date 18/06/2022 18:52:51 period 18 volume:667.47004942385
 trade date 18/06/2022 18:52:51 period 19 volume:26.5807272058822
 trade date 18/06/2022 18:52:51 period 20 volume:188.430036505884
 trade date 18/06/2022 18:52:51 period 21 volume:735.728251159065
 trade date 18/06/2022 18:52:51 period 22 volume:746.11561454186
 trade date 18/06/2022 18:52:51 period 23 volume:627.78115534586
 trade date 18/06/2022 18:52:51 period 24 volume:670.634588073303
 trade date 18/06/2022 18:52:51 period 1 volume:820.242400197425
 trade date 18/06/2022 18:52:51 period 2 volume:909.202193799057
 trade date 18/06/2022 18:52:51 period 3 volume:501.372644445567
 trade date 18/06/2022 18:52:51 period 4 volume:977.64897066059
 trade date 18/06/2022 18:52:51 period 5 volume:167.960160490107
 trade date 18/06/2022 18:52:51 period 6 volume:672.935797214944
 trade date 18/06/2022 18:52:51 period 7 volume:102.167706984173
 trade date 18/06/2022 18:52:51 period 8 volume:454.295885960709
 trade date 18/06/2022 18:52:51 period 9 volume:64.4700574057503
 trade date 18/06/2022 18:52:51 period 10 volume:924.347371293394
 trade date 18/06/2022 18:52:51 period 11 volume:363.840816711933
 trade date 18/06/2022 18:52:51 period 12 volume:415.235897719504
 trade date 18/06/2022 18:52:51 period 13 volume:515.770979000149
 trade date 18/06/2022 18:52:51 period 14 volume:171.057976861977
 trade date 18/06/2022 18:52:51 period 15 volume:581.907633962998
 trade date 18/06/2022 18:52:51 period 16 volume:225.791824621051
 trade date 18/06/2022 18:52:51 period 17 volume:403.455984500915
 trade date 18/06/2022 18:52:51 period 18 volume:380.105332648431
 trade date 18/06/2022 18:52:51 period 19 volume:930.131328725317
 trade date 18/06/2022 18:52:51 period 20 volume:995.05315115445
 trade date 18/06/2022 18:52:51 period 21 volume:592.137508370046
 trade date 18/06/2022 18:52:51 period 22 volume:508.735662563115
 trade date 18/06/2022 18:52:51 period 23 volume:58.2244559462296
 trade date 18/06/2022 18:52:51 period 24 volume:966.777447595623
Service is recall at 18/06/2022 19:01:11
 trade date 18/06/2022 19:01:11 period 1 volume:780.739058172674
 trade date 18/06/2022 19:01:11 period 2 volume:103.938107427181
 trade date 18/06/2022 19:01:11 period 3 volume:482.035605927015
 trade date 18/06/2022 19:01:11 period 4 volume:439.464325289924
 trade date 18/06/2022 19:01:11 period 5 volume:599.023365694575
 trade date 18/06/2022 19:01:11 period 6 volume:988.703508390441
 trade date 18/06/2022 19:01:11 period 7 volume:819.678006144091
 trade date 18/06/2022 19:01:11 period 8 volume:114.467083995448
 trade date 18/06/2022 19:01:11 period 9 volume:520.431101564519
 trade date 18/06/2022 19:01:11 period 10 volume:520.758874956872
 trade date 18/06/2022 19:01:11 period 11 volume:922.223800291412
 trade date 18/06/2022 19:01:11 period 12 volume:853.318049504104
 trade date 18/06/2022 19:01:11 period 13 volume:952.881487995797
 trade date 18/06/2022 19:01:11 period 14 volume:838.979939389499
 trade date 18/06/2022 19:01:11 period 15 volume:607.34361578121
 trade date 18/06/2022 19:01:11 period 16 volume:363.722930366044
 trade date 18/06/2022 19:01:11 period 17 volume:930.273389876947
 trade date 18/06/2022 19:01:11 period 18 volume:634.165669155384
 trade date 18/06/2022 19:01:11 period 19 volume:93.7873735529312
 trade date 18/06/2022 19:01:11 period 20 volume:91.7481473142971
 trade date 18/06/2022 19:01:11 period 21 volume:25.1421542023971
 trade date 18/06/2022 19:01:11 period 22 volume:124.065338226066
 trade date 18/06/2022 19:01:11 period 23 volume:812.192950775937
 trade date 18/06/2022 19:01:11 period 24 volume:506.823813778732
 trade date 18/06/2022 19:01:11 period 1 volume:823.377231519379
 trade date 18/06/2022 19:01:11 period 2 volume:853.614781915031
 trade date 18/06/2022 19:01:11 period 3 volume:37.0535687715996
 trade date 18/06/2022 19:01:11 period 4 volume:286.263083706732
 trade date 18/06/2022 19:01:11 period 5 volume:56.9680999298431
 trade date 18/06/2022 19:01:11 period 6 volume:192.69238002258
 trade date 18/06/2022 19:01:11 period 7 volume:19.9862131941999
 trade date 18/06/2022 19:01:11 period 8 volume:364.187938796444
 trade date 18/06/2022 19:01:11 period 9 volume:589.923603269236
 trade date 18/06/2022 19:01:11 period 10 volume:803.922984192112
 trade date 18/06/2022 19:01:11 period 11 volume:453.959657556359
 trade date 18/06/2022 19:01:11 period 12 volume:303.463217012334
 trade date 18/06/2022 19:01:11 period 13 volume:7.83875259004475
 trade date 18/06/2022 19:01:11 period 14 volume:817.240516104382
 trade date 18/06/2022 19:01:11 period 15 volume:665.548110690689
 trade date 18/06/2022 19:01:11 period 16 volume:223.624138731334
 trade date 18/06/2022 19:01:11 period 17 volume:495.800575937983
 trade date 18/06/2022 19:01:11 period 18 volume:663.991388242688
 trade date 18/06/2022 19:01:11 period 19 volume:692.743934082214
 trade date 18/06/2022 19:01:11 period 20 volume:278.603594879901
 trade date 18/06/2022 19:01:11 period 21 volume:560.338674839744
 trade date 18/06/2022 19:01:11 period 22 volume:247.243518590575
 trade date 18/06/2022 19:01:11 period 23 volume:931.179832635065
 trade date 18/06/2022 19:01:11 period 24 volume:786.888511286531
 trade date 18/06/2022 19:01:11 period 1 volume:504.075424514746
 trade date 18/06/2022 19:01:11 period 2 volume:800.341692660163
 trade date 18/06/2022 19:01:11 period 3 volume:893.245380787759
 trade date 18/06/2022 19:01:11 period 4 volume:610.787767735677
 trade date 18/06/2022 19:01:11 period 5 volume:479.706892035765
 trade date 18/06/2022 19:01:11 period 6 volume:154.549569894816
 trade date 18/06/2022 19:01:11 period 7 volume:848.73926166852
 trade date 18/06/2022 19:01:11 period 8 volume:976.149062149296
 trade date 18/06/2022 19:01:11 period 9 volume:57.3432985960242
 trade date 18/06/2022 19:01:11 period 10 volume:977.748550929943
 trade date 18/06/2022 19:01:11 period 11 volume:327.073846630321
 trade date 18/06/2022 19:01:11 period 12 volume:796.451581547247
 trade date 18/06/2022 19:01:11 period 13 volume:923.956178093309
 trade date 18/06/2022 19:01:11 period 14 volume:860.224344236881
 trade date 18/06/2022 19:01:11 period 15 volume:421.706991466557
 trade date 18/06/2022 19:01:11 period 16 volume:243.055019175194
 trade date 18/06/2022 19:01:11 period 17 volume:130.402485900746
 trade date 18/06/2022 19:01:11 period 18 volume:434.660538767772
 trade date 18/06/2022 19:01:11 period 19 volume:115.469635983682
 trade date 18/06/2022 19:01:11 period 20 volume:150.266663706986
 trade date 18/06/2022 19:01:11 period 21 volume:769.662112356006
 trade date 18/06/2022 19:01:11 period 22 volume:249.358932138122
 trade date 18/06/2022 19:01:11 period 23 volume:260.907027060588
 trade date 18/06/2022 19:01:11 period 24 volume:471.317855395059
 trade date 18/06/2022 19:01:11 period 1 volume:971.667794497529
 trade date 18/06/2022 19:01:11 period 2 volume:158.087239674333
 trade date 18/06/2022 19:01:11 period 3 volume:349.805151275268
 trade date 18/06/2022 19:01:11 period 4 volume:726.606205444134
 trade date 18/06/2022 19:01:11 period 5 volume:731.781558008763
 trade date 18/06/2022 19:01:11 period 6 volume:190.220087389564
 trade date 18/06/2022 19:01:11 period 7 volume:584.587892324006
 trade date 18/06/2022 19:01:11 period 8 volume:624.739715654747
 trade date 18/06/2022 19:01:11 period 9 volume:290.833240510353
 trade date 18/06/2022 19:01:11 period 10 volume:975.690227456247
 trade date 18/06/2022 19:01:11 period 11 volume:352.050740435743
 trade date 18/06/2022 19:01:11 period 12 volume:592.852107059607
 trade date 18/06/2022 19:01:11 period 13 volume:868.782112313799
 trade date 18/06/2022 19:01:11 period 14 volume:585.760847938136
 trade date 18/06/2022 19:01:11 period 15 volume:12.1856145617485
 trade date 18/06/2022 19:01:11 period 16 volume:702.145150258273
 trade date 18/06/2022 19:01:11 period 17 volume:472.728362992745
 trade date 18/06/2022 19:01:11 period 18 volume:303.891953222403
 trade date 18/06/2022 19:01:11 period 19 volume:257.629579518749
 trade date 18/06/2022 19:01:11 period 20 volume:100.993814459533
 trade date 18/06/2022 19:01:11 period 21 volume:765.774390551157
 trade date 18/06/2022 19:01:11 period 22 volume:901.707054535722
 trade date 18/06/2022 19:01:11 period 23 volume:757.516443150824
 trade date 18/06/2022 19:01:11 period 24 volume:460.587535267969
 trade date 18/06/2022 19:01:11 period 1 volume:500.489590922599
 trade date 18/06/2022 19:01:11 period 2 volume:347.539360796818
